,Eli Lilly,,,Novo Nordisk,,,Johnson & Johnson,,,Merck,,,AbbVie,,,AstraZeneca,,,Roche,,,Novartis,,,Amgen,,,Pfizer,,,Vertex,,,Sanofi,,,Regeneron,,,CSL,,,Gilead Sciences,,,Bristol-Myers Squibb,,,GlaxoSmithKline,,,Zoetis,,,CVS Health,,,Daiichi Sankyō,,,Chugai Pharmaceutical,,,Moderna,,,Sun Pharmaceutical,,,Takeda Pharmaceutical
CEO,David A. Ricks,,CEO,Lars Fruergaard Jørgensen,,CEO,Joaquin Duato,,CEO,Robert M. Davis,,CEO,Richard A. Gonzalez,,CEO,Pascal Soriot,,Chief Executive Officer Roche Group,Thomas Schinecker,,CEO,Vasant (Vas) Narasimhan,,CEO,Robert A. Bradway,,CEO,Albert Bourla,,CEO,Reshma Kewalramani,,CEO,Paul Hudson,,CEO,Leonard S. Schleifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFO,Anat Ashkenazi,,CFO,Karsten Munk Knudsen,,CFO,Joseph J. Wolk,,CFO,Caroline Litchfield,,COO,Robert A. Michael,,CFO,Aradhana Sarin,,CEO Roche Pharmaceuticals,Teresa Graham,,Development and Chief Medical Officer,Shreeram Aradhye,,,,,Chief Corporate Affairs Officer,Sally Susman,,CSO,David Altshuler,,Head of Research and Development,Houman Ashrafian,,CSO,George D. Yancopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturing Operations,Edgardo Hernandez,,CSO,Marcus Schindler,,Global Corporate Affairs,Vanessa Broadhurst,,Merck Manufacturing Division,Sanat Chattopadhyay,,COO,Azita Saleki-Gerhardt,,BioPharmaceuticals R&D,Sharon Barr,,CEO Roche Diagnostics,Matt Sause,,"President, US",Victor Bulto,,,,,Chief People Experience Officer,Payal Sahni Becher,,COO,Stuart A. Arbuckle,,Chief People Officer,Natalie Bickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Quality,Johna L. Norton,,International Operations.,Maziar Mike Doustdar,,Chief Human Resources Officer,Peter Fasolo,,Merck Animal Health,"Richard R. DeLuca, Jr.",,Chief Business and Strategy Officer,Nicholas Donoghoe,,"Global Operations, IT & Chief Sustainability Officer",Pam Cheng,,Chief Financial and Information Officer,Alan Hippe,,Chief Strategy & Growth Officer,Aharon (Ronny) Gal,,,,,Chief Global Supply Officer,Mike McDermott,,"Chief Technical Operations Officer, Head of Biopharmaceutical Sciences and Manufacturing Operations",E. Morrey Atkinson,,General Medicines,Olivier Charmeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Counsel and Secretary,Anat Hakim,,North America Operations,Doug Langa,,Chief Legal Officer,Liz Forminard,,Chief communications & public affairs officer,Cristal N. Downing,,CFO,Scott T. Reents,,BioPharmaceuticals Business Unit,Ruud Dobber,,Chief People Officer,Cristina A. Wilbur,,Chief Legal Officer,Karen L. Hale,,,,,Chief U.S. Commercial Officer,Aamir Malik,,Chief Legal Officer,Jonathan Biller,,Head of Specialty Care,Brian Foard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Resources and Diversity,Eric Dozier,,Development,Martin Holst Lange,,Chief External Innovation and Medical Officer,William N. Hait,,"Chief marketing officer, Human Health",Chirfi Guindo,,Chief Human Resources Officer,Timothy J. Richmond,,Chief Strategy Officer,Marc Dunoyer,,General Counsel,Claudia Böckstiegel,,"President, International",Patrick Horber,,,,,General Counsel,Doug Lankler,,"Global Medicines Development and Medical Affairs, and Chief Medical Officer",Carmen Bozic,,Chief Digital Officer,Emmanuel Frenehard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Corporate Development,David Moore,,"Innovative Medicine, R&D",John C. Reed,,Chief strategy officer,Michael A. Klobuchar,,General Counsel and Secretary,Perry C. Siatis,,Oncology Business Unit,David Fredrickson,,Head of Pharma Research and Early Development (pRED),Hans Clevers,,Chief Financial Officer,Harry Kirsch,,,,,"Chief Compliance, Quality and Risk Officer",Rady Johnson,,Chief Patient and External Affairs Officer,Amit K. Sachdev,,Manufacturing and Supply,Brendan O’Callaghan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Global People & Organisation,Tania Sabroe,,"Worldwide Chairman, MedTech",Tim Schmid,,Chief human resources officer,Betty Larson,,Chief Commercial Officer,Jeffrey R. Stewart,,Oncology R&D,Susan Galbraith,,Head of Global Product Development and Chief Medical Officer,Levi Garraway,,Chief People & Organization Officer,Rob Kowalski,,,,,Chief International Commercial Officer,Alexandre de Germay,,Chief Regulatory and Quality Officer,Nia Tatsis,,General Counsel,Roy Papatheodorou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Commercial Strategy & Corporate Affairs.,Camilla Sylvest,,Chief Information Officer,James Swanson,,Merck Research Laboratories,Dean Y. Li,,Medical Affairs and Health Economics Outcomes Research,Latif Akintade,,Chief Compliance Officer and General Counsel,Jeff Pott,,Head of Corporate Strategy and Sustainability,Silke Hörnstein,,"President, Operations",Steffen Lang,,,,,Chief Digital and Technology Officer,Lidia Fonseca,,Chief Financial Officer,Charles Wagner,,Business Operations,Madeleine Roach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Product Supply, Quality & IT",Henrik Wulff,,"Worldwide Chairman, Innovative Medicine",Jennifer L. Taubert,,Merck Human Health U.S.,Jannie Oosthuizen,,Immunology,Jérôme Bouyer,,Vaccines and Immune Therapies,Iskra Reic,,Head of Genentech Research and Early Development (gRED),Aviv Regev,,"President, Biomedical Research",Fiona H. Marshall,,,,,Chief Scientific Officer,Mikael Dolsten,,,,,CFO,François-Xavier Roger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rare Disease,Ludovic Helfgott,,Chief Technical Operations & Risk Officer,Kathryn E. Wengel,,Human Health International,Joseph Romanelli,,Corporate Controller,Kevin Buckbee,,International and China President,Leon Wang,,Global Head of Pharma Partnering,James H. Sabry,,"Chief Ethics, Risk & Compliance Officer",Klaus Moosmayer,,,,,CFO,Dave Denton,,,,,Vaccines,Thomas Triomphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Chief information & digital officer,Dave Williams,,International Therapeutics,Alberto Colzi,,,,,Head of Group Communications,Barbara Schädler,,"President, Global Health & Sustainability",Lutz Hegemann,,,,,COO,Chris Boshoff,,,,,Consumer Healthcare,Julie Van Ongevalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,General counsel,Jennifer Zachary,,Neuroscience and Eye Care,Jag Dosanjh,,,,,,,,Chief Audit Officer,Kees Roks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Corporate Affairs,Tracie Haas,,,,,,,,Chief Corporate Affairs Officer,Michelle Weese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"CSO, Global Research",Thomas Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Government Affairs,Greg Miley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Specialty and U.S. Therapeutics Operations,Nicole Mowad-Nassar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Chief Ethics and Compliance Officer and Allergan Aesthetics Legal,Sanjay Narayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Investor Relations,Liz Shea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Global Allergan Aesthetics,Carrie Strom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Chief Medical Officer, Global Therapeutics",Roopal Thakkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Oncology,Wulff-Erik von Borcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Chief Equity Officer,Assil Omar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,